inventory_id,warehouse_id,warehouse_city,warehouse_state,product_id,available_stock,reserved_stock,safety_stock,reorder_level,inventory_status,last_updated
INV000001,WH006,Salvador,BA,1e9e8ef04dbcff4541ed26657ea517e5,170,8,15,40,IN_STOCK,2018-12-26 23:00:00
INV000002,WH005,Porto Alegre,RS,3aa071139cb16b67ca9e5dea641aaa2f,71,5,10,50,IN_STOCK,2018-12-04 19:00:00
INV000003,WH001,Sao Paulo,SP,96bd76ec8810374ed1b65e291975717f,294,28,15,75,IN_STOCK,2018-10-01 05:00:00
INV000004,WH006,Salvador,BA,cef67bcfe19066a932b7673e239eb23d,124,21,15,40,IN_STOCK,2018-11-18 03:00:00
INV000005,WH003,Belo Horizonte,MG,9dc1a7de274444849c219cff195d0b71,34,29,10,75,LOW_STOCK,2018-11-18 02:00:00
INV000006,WH005,Porto Alegre,RS,41d3672d4792049fa1779bb35283ed13,265,12,30,75,IN_STOCK,2018-10-06 21:00:00
INV000007,WH002,Rio de Janeiro,RJ,732bd381ad09e530fe0a5f457d81becb,462,6,15,20,IN_STOCK,2018-11-28 20:00:00
INV000008,WH003,Belo Horizonte,MG,2548af3e6e77a690cf3eb6368e9ab61e,152,4,20,40,IN_STOCK,2018-10-22 17:00:00
INV000009,WH006,Salvador,BA,37cc742be07708b53a98702e77a21a02,249,40,20,50,IN_STOCK,2018-10-29 21:00:00
INV000010,WH003,Belo Horizonte,MG,8c92109888e8cdf9d66dc7e463025574,8,5,10,20,LOW_STOCK,2018-10-09 06:00:00
INV000011,WH005,Porto Alegre,RS,14aa47b7fe5c25522b47b4b29c98dcb9,14,6,25,40,LOW_STOCK,2018-12-22 14:00:00
INV000012,WH002,Rio de Janeiro,RJ,03b63c5fc16691530586ae020c345514,416,34,30,30,IN_STOCK,2018-12-14 13:00:00
INV000013,WH005,Porto Alegre,RS,cf55509ea8edaaac1d28fdb16e48fc22,105,31,30,30,IN_STOCK,2018-10-07 03:00:00
INV000014,WH002,Rio de Janeiro,RJ,7bb6f29c2be57716194f96496660c7c2,360,24,10,50,IN_STOCK,2018-11-29 16:00:00
INV000015,WH003,Belo Horizonte,MG,eb31436580a610f202c859463d8c7415,0,0,10,0,DISCONTINUED,2018-10-15 21:00:00
INV000016,WH005,Porto Alegre,RS,3bb7f144022e6732727d8d838a7b13b3,102,27,20,40,IN_STOCK,2018-10-01 23:00:00
INV000017,WH006,Salvador,BA,6a2fb4dd53d2cdb88e0432f1284a004c,470,32,15,75,IN_STOCK,2018-12-20 09:00:00
INV000018,WH006,Salvador,BA,a1b71017a84f92fd8da4aeefba108a24,113,10,20,30,IN_STOCK,2018-12-07 00:00:00
INV000019,WH005,Porto Alegre,RS,a0736b92e52f6cead290e30b578413b6,82,19,20,20,IN_STOCK,2018-10-31 18:00:00
INV000020,WH001,Sao Paulo,SP,f53103a77d9cf245e579ea37e5ec51f0,472,34,10,50,IN_STOCK,2018-10-17 21:00:00
INV000021,WH004,Curitiba,PR,1c1890ba1779090cd54008a3c3302921,0,0,20,30,OUT_OF_STOCK,2018-12-17 13:00:00
INV000022,WH002,Rio de Janeiro,RJ,518ef5de2c2b3a255e326a4594ba15d9,0,0,20,30,OUT_OF_STOCK,2018-12-25 20:00:00
INV000023,WH003,Belo Horizonte,MG,e3e020af31d4d89d2602272b315c3f6e,311,15,10,75,IN_STOCK,2018-11-13 00:00:00
INV000024,WH005,Porto Alegre,RS,8b41fbc2b984a12030090112324d1bc4,192,4,10,75,IN_STOCK,2018-10-08 07:00:00
INV000025,WH001,Sao Paulo,SP,d03bd02af9fff4b98f1c972315e5e9ef,5,1,30,40,LOW_STOCK,2018-12-02 06:00:00
INV000026,WH005,Porto Alegre,RS,8ba4f2a4ae695d26e5626c1bf710975e,375,15,25,75,IN_STOCK,2018-11-22 06:00:00
INV000027,WH001,Sao Paulo,SP,f6574524b07d5bb753bab6f35abe2d06,236,26,25,50,IN_STOCK,2018-10-07 21:00:00
INV000028,WH006,Salvador,BA,c78b767da00efb70c1bcccab87c28cd5,0,0,10,0,DISCONTINUED,2018-11-13 03:00:00
INV000029,WH002,Rio de Janeiro,RJ,a0253d43394dd4da9a5d7b1f546f1a32,309,27,15,75,IN_STOCK,2018-11-29 07:00:00
INV000030,WH001,Sao Paulo,SP,051b9ff13dd55c0a6655a15ff296f80d,130,34,10,75,IN_STOCK,2018-10-12 07:00:00
INV000031,WH002,Rio de Janeiro,RJ,47859fca9dd7485cbd93c3e8993bb74f,164,3,25,50,IN_STOCK,2018-10-01 12:00:00
INV000032,WH003,Belo Horizonte,MG,e1d1d22e9f8122a4ec1533b032c12562,0,0,20,50,OUT_OF_STOCK,2018-12-11 21:00:00
INV000033,WH006,Salvador,BA,20e37962088a4061d3578def47a8648b,186,3,15,30,IN_STOCK,2018-12-09 01:00:00
INV000034,WH006,Salvador,BA,1eba879220bd0981a0e2fbab499ed4e1,324,32,25,20,IN_STOCK,2018-12-07 05:00:00
INV000035,WH001,Sao Paulo,SP,ce5b91848b91118daffb3af53b747475,0,0,15,20,OUT_OF_STOCK,2018-10-09 21:00:00
INV000036,WH002,Rio de Janeiro,RJ,5370b82a213393979691c98074265584,206,38,30,75,IN_STOCK,2018-10-11 13:00:00
INV000037,WH006,Salvador,BA,b8dac5113b06a97e64943234522572b9,241,13,20,75,IN_STOCK,2018-11-10 07:00:00
INV000038,WH003,Belo Horizonte,MG,750cf819d127191920eda79a4b6fb479,279,4,20,40,IN_STOCK,2018-12-19 18:00:00
INV000039,WH001,Sao Paulo,SP,e6af694343b45b56304ad91974a110b9,294,8,20,30,IN_STOCK,2018-10-09 07:00:00
INV000040,WH003,Belo Horizonte,MG,680874c570dad71c0a2844cfbf417054,481,19,30,50,IN_STOCK,2018-12-23 16:00:00
INV000041,WH001,Sao Paulo,SP,8b3a9476f74f5297f7ff0ec6d95fe1ea,233,8,10,75,IN_STOCK,2018-10-14 23:00:00
INV000042,WH005,Porto Alegre,RS,1c6fb703c624b381a20f21f757694866,354,21,15,40,IN_STOCK,2018-12-21 08:00:00
INV000043,WH005,Porto Alegre,RS,db46052aed7dff59ba38cf2fe29b87f9,72,17,25,20,IN_STOCK,2018-11-12 04:00:00
INV000044,WH006,Salvador,BA,b864b103180d5a6a3f830e67f93e8735,0,0,15,0,DISCONTINUED,2018-12-10 22:00:00
INV000045,WH004,Curitiba,PR,7a8dac4aaa16bc642e4df33adcf03303,63,34,15,20,IN_STOCK,2018-11-17 18:00:00
INV000046,WH005,Porto Alegre,RS,83b9bc6aae6f527ff6aafb9e01d6cbf3,56,23,20,30,IN_STOCK,2018-10-06 11:00:00
INV000047,WH002,Rio de Janeiro,RJ,5f504b3a1c75b73d6151be81eb05bdc9,206,26,30,20,IN_STOCK,2018-10-20 07:00:00
INV000048,WH002,Rio de Janeiro,RJ,bbf920aa6ac72007a726e6f419156f8f,0,0,15,0,DISCONTINUED,2018-10-04 05:00:00
